iter	Passed	Remaining
1205	132797	87430
1206	132920	87328
1207	133020	87212
1208	133135	87105
1209	133238	86990
1210	133347	86879
1211	133446	86762
1212	133559	86653
1213	133669	86543
1214	133782	86435
1215	133901	86331
1216	134011	86220
1217	134120	86110
1218	134224	85996
1219	134334	85886
1220	134444	85775
1221	134545	85660
1222	134647	85544
1223	134751	85430
1224	134866	85323
1225	134970	85209
1226	135076	85096
1227	135189	84988
1228	135295	84875
1229	135402	84764
1230	135512	84654
1231	135627	84547
1232	135740	84438
1233	135852	84330
1234	135958	84217
1235	136073	84110
1236	136174	83994
1237	136288	83886
1238	136400	83778
1239	136510	83667
1240	136614	83554
1241	136718	83440
1242	136826	83328
1243	136936	83218
1244	137045	83108
1245	137143	82990
1246	137255	82881
1247	137357	82766
1248	137465	82655
1249	137574	82544
1250	137691	82438
1251	137811	82334
1252	137923	82225
1253	138026	82111
1254	138131	81998
1255	138244	81889
1256	138356	81781
1257	138481	81679
1258	138576	81561
1259	138677	81445
1260	138790	81337
1261	138891	81222
1262	139004	81113
1263	139112	81002
1264	139220	80890
1265	139327	80779
1266	139452	80677
1267	139568	80570
1268	139673	80458
1269	139786	80349
1270	139884	80232
1271	139994	80122
1272	140112	80017
1273	140216	79903
1274	140322	79791
1275	140434	79682
1276	140555	79578
1277	140667	79469
1278	140777	79359
1279	140882	79246
1280	140995	79137
1281	141098	79023
1282	141203	78910
1283	141311	78799
1284	141415	78686
1285	141537	78583
1286	141643	78470
1287	141751	78359
1288	141870	78254
1289	141979	78143
1290	142090	78034
1291	142199	77923
1292	142315	77817
1293	142423	77705
1294	142532	77594
1295	142646	77487
1296	142758	77378
1297	142870	77269
1298	142971	77154
1299	143081	77043
1300	143185	76930
1301	143288	76816
1302	143396	76705
1303	143506	76595
1304	143625	76490
1305	143742	76384
1306	143852	76273
1307	143954	76159
1308	144055	76044
1309	144164	75933
1310	144269	75821
1311	144383	75713
1312	144499	75606
1313	144617	75500
1314	144731	75392
1315	144848	75285
1316	144974	75184
1317	145081	75072
1318	145189	74961
1319	145290	74846
1320	145396	74734
1321	145515	74629
1322	145625	74518
1323	145741	74411
1324	145850	74301
1325	145961	74191
1326	146065	74078
1327	146173	73967
1328	146282	73856
1329	146393	73747
1330	146516	73643
1331	146624	73532
1332	146734	73422
1333	146842	73311
1334	146961	73205
1335	147079	73099
1336	147184	72986
1337	147306	72882
1338	147416	72772
1339	147521	72659
1340	147627	72547
1341	147730	72434
1342	147840	72324
1343	147951	72214
1344	148066	72106
1345	148171	71994
1346	148283	71885
1347	148401	71778
1348	148506	71666
1349	148614	71555
1350	148711	71438
1351	148820	71327
1352	148916	71211
1353	149022	71099
1354	149141	70993
1355	149266	70890
1356	149371	70778
1357	149473	70664
1358	149592	70558
1359	149700	70447
1360	149808	70336
1361	149904	70219
1362	150013	70109
1363	150127	70000
1364	150240	69892
1365	150342	69778
1366	150439	69662
1367	150539	69547
1368	150656	69440
1369	150757	69326
1370	150861	69213
1371	150977	69106
1372	151078	68992
1373	151179	68878
1374	151283	68765
1375	151388	68652
1376	151488	68538
1377	151592	68425
1378	151704	68316
1379	151810	68204
1380	151910	68090
1381	152040	67989
1382	152150	67879
1383	152271	67773
1384	152384	67665
1385	152493	67554
1386	152597	67441
1387	152710	67333
1388	152824	67225
1389	152934	67114
1390	153044	67004
1391	153151	66893
1392	153265	66785
1393	153373	66674
1394	153486	66565
1395	153589	66452
1396	153693	66340
1397	153802	66229
1398	153904	66116
1399	154009	66004
1400	154120	65894
1401	154230	65784
1402	154336	65672
1403	154444	65562
1404	154546	65448
1405	154657	65338
1406	154760	65225
1407	154871	65116
1408	154998	65013
1409	155108	64903
1410	155215	64792
1411	155324	64681
1412	155433	64571
1413	155545	64462
1414	155639	64345
1415	155746	64234
1416	155853	64123
1417	155958	64011
1418	156062	63898
1419	156174	63789
1420	156282	63678
1421	156384	63565
1422	156488	63453
1423	156597	63342
1424	156697	63228
1425	156803	63117
1426	156915	63008
1427	157028	62899
1428	157131	62786
1429	157244	62677
1430	157355	62568
1431	157464	62457
1432	157571	62347
1433	157675	62234
1434	157789	62126
1435	157899	62016
1436	158002	61903
1437	158115	61794
1438	158219	61682
1439	158321	61569
1440	158422	61456
1441	158541	61349
1442	158662	61243
1443	158776	61135
1444	158889	61026
1445	158989	60913
1446	159104	60805
1447	159205	60691
1448	159328	60586
1449	159441	60477
1450	159558	60370
1451	159669	60260
1452	159770	60147
1453	159877	60036
1454	159979	59923
1455	160088	59813
1456	160206	59706
1457	160308	59593
1458	160407	59479
1459	160507	59365
1460	160610	59253
1461	160719	59142
1462	160826	59031
1463	160931	58920
1464	161042	58810
1465	161154	58701
1466	161263	58591
1467	161373	58481
1468	161483	58371
1469	161596	58262
1470	161701	58151
1471	161805	58038
1472	161921	57931
1473	162030	57821
1474	162137	57709
1475	162247	57600
1476	162353	57488
1477	162456	57376
1478	162558	57263
1479	162662	57151
1480	162766	57039
1481	162876	56929
1482	162999	56824
1483	163117	56717
1484	163233	56609
1485	163335	56496
1486	163439	56385
1487	163547	56274
1488	163657	56164
1489	163766	56054
1490	163882	55946
1491	163990	55835
1492	164095	55724
1493	164201	55613
1494	164311	55503
1495	164417	55391
1496	164517	55278
1497	164630	55169
1498	164750	55063
1499	164855	54951
1500	164963	54841
1501	165071	54730
1502	165175	54618
1503	165288	54509
1504	165397	54399
1505	165505	54289
1506	165622	54181
1507	165728	54070
1508	165847	53963
1509	165953	53852
1510	166064	53742
1511	166160	53628
1512	166269	53518
1513	166380	53408
1514	166503	53303
1515	166611	53192
1516	166733	53086
1517	166853	52979
1518	166953	52866
1519	167062	52756
1520	167168	52645
1521	167278	52535
1522	167401	52429
1523	167496	52315
1524	167606	52205
1525	167727	52098
1526	167829	51986
1527	167942	51877
1528	168052	51767
1529	168164	51658
1530	168274	51548
1531	168372	51434
1532	168482	51325
1533	168591	51215
1534	168703	51105
1535	168810	50994
1536	168911	50882
1537	169015	50770
1538	169142	50665
1539	169261	50558
1540	169381	50451
1541	169486	50340
1542	169598	50230
1543	169701	50119
1544	169810	50008
1545	169910	49896
1546	170020	49786
1547	170125	49674
1548	170232	49564
1549	170334	49451
1550	170451	49343
1551	170563	49234
1552	170670	49124
1553	170783	49014
1554	170900	48907
1555	171002	48795
1556	171112	48685
1557	171227	48576
1558	171325	48463
1559	171445	48356
1560	171552	48245
1561	171669	48137
1562	171780	48028
1563	171886	47917
1564	171988	47805
1565	172098	47695
1566	172199	47582
1567	172299	47470
1568	172417	47362
1569	172533	47254
1570	172635	47142
1571	172740	47031
1572	172850	46921
1573	172962	46811
1574	173067	46700
1575	173181	46591
1576	173284	46480
1577	173387	46368
1578	173494	46257
1579	173609	46149
1580	173702	46034
1581	173808	45924
1582	173928	45816
1583	174045	45708
1584	174146	45596
1585	174239	45482
1586	174333	45368
1587	174434	45256
1588	174537	45144
1589	174639	45032
1590	174757	44925
1591	174861	44813
1592	174964	44702
1593	175067	44590
1594	175161	44476
1595	175269	44366
1596	175368	44253
1597	175476	44143
1598	175583	44033
1599	175687	43921
1600	175795	43811
1601	175904	43701
1602	176009	43590
1603	176114	43479
1604	176221	43369
1605	176338	43261
1606	176442	43150
1607	176556	43041
1608	176664	42930
1609	176777	42821
1610	176888	42712
1611	177004	42604
1612	177099	42490
1613	177216	42382
1614	177318	42270
1615	177443	42164
1616	177543	42052
1617	177643	41940
1618	177746	41829
1619	177868	41722
1620	177981	41613
1621	178092	41503
1622	178202	41394
1623	178323	41286
1624	178428	41175
1625	178529	41063
1626	178626	40951
1627	178739	40842
1628	178853	40733
1629	178955	40621
1630	179054	40509
1631	179159	40398
1632	179284	40292
1633	179387	40181
1634	179491	40069
1635	179601	39960
1636	179713	39850
1637	179826	39741
1638	179937	39632
1639	180043	39521
1640	180146	39410
1641	180256	39300
1642	180373	39192
1643	180479	39081
1644	180599	38974
1645	180710	38864
1646	180822	38755
1647	180937	38646
1648	181049	38537
1649	181165	38429
